id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
552874182306906373,Zamboni House Deluxe (Fiera/Centro),97109877,Sandra,,Santo Stefano,44.497978,11.355154,Entire home/apt,97,3,87,2024-03-17,3.44,2,32,21,PG 90460\2022
553663214332858642,Casa Gallo,45163311,Edoardo,,San Donato - San Vitale,44.49310100458092,11.385061762952672,Entire home/apt,95,1,1,2024-03-23,1,1,257,1,
554238882078610422,Brand new suite Via Albertoni,133064942,Canguro Properties,,Santo Stefano,44.48844500000001,11.3628039,Entire home/apt,85,1,13,2023-05-28,0.51,10,318,3,
554238914993436123,Brand new suite with balcony Via Albertoni,133064942,Canguro Properties,,Santo Stefano,44.48844500000001,11.3628039,Entire home/apt,99,1,38,2024-02-17,1.55,10,312,14,
554239045835410319,B&BO SAGO,443384709,Carmine,,Savena,44.479301,11.383334,Entire home/apt,129,1,8,2023-12-11,0.34,1,277,4,
554952130224997653,Realkasa Sette Chiese Apartment,228384114,Realkasa,,Santo Stefano,44.49236,11.34645,Entire home/apt,241,3,37,2023-10-26,1.45,91,44,8,037006-AT-03523
555130028586528358,Luminoso mini attico. Nice apt at the top floor,48335364,Laura (Con Mia Sorella Adele),,Savena,44.47325,11.39287,Entire home/apt,70,5,2,2023-09-29,0.24,2,193,2,
556411483349746050,Luminoso Appartamento a Bologna,258325747,Sara,,Santo Stefano,44.4743,11.36771,Entire home/apt,81,2,10,2023-07-23,0.42,1,281,4,
556954776860388987,"Modì, Bologna By Short Holidays",12182373,Luca,,Porto - Saragozza,44.49402,11.34245,Entire home/apt,182,1,74,2024-02-05,2.89,51,87,32,
556991939953252673,Private room from the roofs at “la finestrella”,21181030,Marianna,,Santo Stefano,44.50003,11.34537,Private room,81,2,101,2024-03-18,3.96,2,68,50,
557024025607969221,Private Apartment from roofs at “ la finestrella”,21181030,Marianna,,Santo Stefano,44.49758,11.34653,Entire home/apt,117,2,6,2023-05-22,0.29,2,343,2,
557232009663452515,"Sguardo a San Luca, a casa tua a 2 passi da tutto",69823083,Ilaria,,Porto - Saragozza,44.50124,11.31647,Entire home/apt,85,2,31,2024-03-08,1.22,1,328,8,
557857018001668823,Realkasa Broccaindosso Apartment,228384114,Realkasa,,Santo Stefano,44.49309,11.35397,Entire home/apt,135,3,21,2023-10-27,0.88,91,139,8,037006-AT-03489
559261003272550775,Marsala Home in Historical Center,7441756,Benedetto Raffaello,,Santo Stefano,44.49624,11.34532,Entire home/apt,155,1,46,2023-12-09,2.08,19,178,12,
559305640162111595,[Romantic Suite Toffee] free parking&wifi/netflix,444471677,Sabrina,,Borgo Panigale - Reno,44.50694274902344,11.293540954589844,Entire home/apt,87,1,54,2024-03-18,2.41,2,160,41,037006-CV-00433
559491969837450148,garisenda bnb,347953527,Riccardo,,Santo Stefano,44.4938,11.34734,Private room,70,2,121,2024-03-10,4.79,1,314,59,
559845406083466410,Casa di Vanessa,49690307,Vanessa,,Savena,44.48388,11.37838,Entire home/apt,80,2,1,2022-12-27,0.07,4,223,0,
560054334037419139,RK Train Plaza Apartment,228384114,Realkasa,,Porto - Saragozza,44.50542,11.34469,Entire home/apt,126,3,53,2024-03-06,2.11,91,103,26,
560568798810957230,Casa 4 Stagioni-S.Orsola,444709044,Tobias,,San Donato - San Vitale,44.49456,11.36353,Entire home/apt,64,1,120,2024-03-17,4.76,2,326,46,Codice CIR: 037006-AT-02156
561408829903091218,La Lanterna,71660888,Luca,,Porto - Saragozza,44.505501,11.339854,Private room,86,1,18,2023-05-15,0.76,2,3,6,
562192236549082663,"Andreini, Bologna By Short Holidays",12182373,Luca,,San Donato - San Vitale,44.5017,11.37306,Entire home/apt,152,1,8,2022-09-25,0.33,51,124,0,
